"","census_county_fips","primary16_clinton","primary16_sanders"
"1804",21199,0.474,0.466
"1805",29111,0.483,0.483
"1806",8061,0.455,0.182
"1807",21193,0.3,0.596
"1808",38101,0.475,0.465
"1809",1009,0.551,0.386
"1810",13017,0.802,0.184
"1811",23015,0.4,0.49
"1812",13075,0.762,0.225
"1813",18051,0.505,0.495
"1814",31083,0.52,0.48
"1815",16043,0.172,0.828
"1816",13217,0.78,0.215
"1817",1065,0.796,0.14
"1818",5023,0.687,0.286
"1819",6027,0.432,0.547
"1820",13149,0.701,0.282
"1821",13163,0.885,0.11
"1822",48299,0.645,0.336
"1823",48009,0.589,0.381
"1824",5149,0.582,0.348
"1825",38125,0.444583333,0.477083333
"1826",31183,0.5,0.5
"1827",51097,0.787,0.208
"1828",17011,0.445,0.542
"1829",55021,0.392,0.605
"1830",48503,0.586,0.388
"1831",28005,0.89,0.093
"1832",17019,0.338,0.659
"1833",12013,0.362,0.452
"1834",17201,0.472,0.523
"1835",19083,0.577,0.423
"1836",20029,0.478978495,0.459301075
"1837",17015,0.488,0.5
"1838",47067,0.537,0.443
"1839",20209,0.4825,0.4675
"1840",54005,0.268,0.52
"1841",38001,0.444583333,0.477083333
"1842",13219,0.525,0.471
"1843",30049,0.473,0.481
"1844",40043,0.275,0.554
"1845",40085,0.32,0.511
"1846",40127,0.267,0.561
"1847",35053,0.506,0.494
"1848",40149,0.251,0.601
"1849",29029,0.489,0.499
"1850",18005,0.466,0.534
"1851",48045,0.571,0.393
"1852",48015,0.734,0.246
"1853",49017,0.232,0.737
"1854",55015,0.429,0.568
"1855",17141,0.402,0.592
"1856",31137,0.44,0.56
"1857",48145,0.814,0.17
"1858",29011,0.481,0.502
"1859",48437,0.605,0.335
"1860",20143,0.478978495,0.459301075
"1861",20063,0.478978495,0.459301075
"1862",18037,0.501,0.499
"1863",30105,0.467,0.457
"1864",54039,0.45,0.48
"1865",48189,0.603,0.34
"1866",28103,0.905,0.087
"1867",26065,0.437,0.547
"1868",18063,0.414,0.586
"1869",49001,0,0
